postcode,lat,long
BT221FN,54.496477,-5.462919
BT221GW,54.465217,-5.447284
BT221QN,54.434627,-5.522716
BT221QS,54.382289,-5.544991
BT221RG,54.344009,-5.504317
BT221SG,54.462962,-5.445604
BT221UQ,54.49408,-5.467328
BT222DX,54.606997,-5.563955
BT222FN,54.597054,-5.522145
BT222GB,54.579086,-5.551854
BT222HT,54.597679,-5.525017
BT222QN,54.54645,-5.48883
BT222US,54.53822,-5.48649
BT233BY,54.596138,-5.685945
BT233DD,54.594576,-5.688819
BT233DH,54.604612,-5.682678
BT233DU,54.593162,-5.694779
BT233EE,54.597282,-5.688403
BT233LA,54.59155,-5.680945
BT233NB,54.590003,-5.679949
BT233NL,54.590642,-5.685174
BT233NN,54.588449,-5.687929
BT233QS,54.601845,-5.676598
BT233RA,54.595357,-5.668658
BT233RE,54.596437,-5.673393
BT233UE,54.606716,-5.679927
BT233UF,54.606333,-5.678711
BT233WH,54.596832,-5.665943
BT233WJ,54.597464,-5.666061
BT233XP,54.593054,-5.665695
BT233XR,54.592617,-5.666339
BT233XS,54.592375,-5.663103
BT233XU,54.605269,-5.674747
BT233XZ,54.592096,-5.667297
BT233YB,54.591723,-5.66984
BT233YE,54.590788,-5.669383
BT233ZG,54.602606,-5.671803
BT234AL,54.595138,-5.707481
BT234AW,54.595846,-5.708354
BT234DP,54.594582,-5.698568
BT234ER,54.599114,-5.700634
BT234ET,54.592733,-5.700575
BT234GP,54.586808,-5.711291
BT234GS,54.58629,-5.711413
BT234LB,54.590042,-5.697958
BT234LR,54.593757,-5.702436
BT234QX,54.581347,-5.704264
BT234SL,54.573046,-5.720491
BT234SY,54.602416,-5.753457
BT234UB,54.604803,-5.744147
BT234UG,54.616978,-5.723036
BT234WH,54.582699,-5.699284
BT234WS,54.584738,-5.70153
BT234ZF,54.538318,-5.761553
BT235AQ,54.552844,-5.740942
BT235AU,54.551382,-5.740605
BT235DZ,54.550946,-5.74757
BT235EE,54.553845,-5.752712
BT235GQ,54.505231,-5.781755
BT235NB,54.531791,-5.726099
BT235PJ,54.539446,-5.785585
BT235PW,54.53553,-5.807893
BT235SF,54.512964,-5.736519
BT235TL,54.502646,-5.791205
BT235XG,54.558472,-5.737739
BT235XL,54.506841,-5.786671
BT235XW,54.500948,-5.797132
BT235XY,54.501272,-5.797207
BT235ZG,54.538318,-5.761553
BT236AD,54.513399,-5.702874
BT236BF,54.548287,-5.841228
BT236BQ,54.533707,-5.823828
BT236DJ,54.495029,-5.772289
BT236DR,54.496038,-5.738073
BT236EU,54.538318,-5.761553
BT236HW,54.493044,-5.803269
BT236PP,54.473938,-5.675402
BT236PU,54.481111,-5.64765
BT236PX,54.479213,-5.647528
BT236PY,54.481147,-5.645812
BT236RQ,54.472807,-5.693734
BT236RZ,54.491861,-5.7396
BT236UH,54.471918,-5.679189
BT237BP,54.60054,-5.681656
BT237FB,54.538318,-5.761553
BT237FF,54.538318,-5.761553
BT237GL,54.633423,-5.675835
BT237HW,54.538318,-5.761553
BT237LS,54.593123,-5.687091
BT237NT,54.590774,-5.692535
BT237QB,54.626853,-5.658059
BT237QE,54.623476,-5.667901
BT237RB,54.631945,-5.67901
BT237YL,54.599221,-5.694901
BT237YN,54.599221,-5.694901
BT238DF,54.599313,-5.672982
BT238HB,54.594315,-5.677553
BT238HD,54.594315,-5.677553
BT238HQ,54.59551,-5.679899
BT238QN,54.600594,-5.672754
